"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","O_01","O_02","O_03","O_04_A","O_04_B","O_04_C","O_04_D","O_04_FUMADA","O_05","O_06","O_07","O_08","O_09","O_09_VALOR","O_09_TEXTO","O_10_A","O_10_B","O_10_C","O_10_D","O_10_E","O_10_F","O_10_G","O_10_H","O_10_I","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y"
290,"95001",3,1,2,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
535,"68547",2,1,2,2,1,1,1,NA,0,3,1,2,NA,NA,1,NA,NA,2,NA,NA,3,1,80000,"OCHENTA MIL PESOS",NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1
827,"95001",1,1,1,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
1535,"76001",1,1,1,3,1,1,1,NA,0,3,1,2,NA,NA,NA,1,NA,1,2,60000,10,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,3
1742,"18001",1,1,1,7,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7
4166,"50001",2,1,2,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
8185,"76001",3,1,4,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
10235,"63001",1,1,3,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
11312,"54001",2,1,2,3,1,1,1,NA,0,3,1,2,NA,NA,NA,1,NA,1,8,1e+05,12,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,2
11891,"25754",2,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
12451,"11001",1,1,4,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
13168,"52001",2,1,3,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
13344,"23001",4,2,NA,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
15087,"05001",2,1,4,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
17995,"85001",3,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
18905,"76001",3,1,2,3,1,1,1,NA,0,3,1,5,1,NA,1,NA,3,1,30,3e+05,60,1,5000,"CINCO MIL",NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,2
20638,"19573",1,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
20777,"19001",2,1,3,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
21767,"25754",1,1,1,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
24631,"05001",2,1,2,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
25552,"86320",1,1,1,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
25699,"97001",2,1,1,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
25808,"91001",1,1,1,6,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
26081,"97001",2,1,1,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
26250,"11001",2,1,2,3,1,1,1,NA,0,3,1,1,1,NA,NA,NA,2,2,NA,NA,99,2,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,2,1,2
26840,"52001",3,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
27872,"19001",1,1,3,6,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4
28161,"11001",2,1,3,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
28520,"08001",2,1,1,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
30927,"41001",1,1,2,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
32479,"41001",1,1,2,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
32562,"63001",1,1,2,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
33313,"05001",2,1,2,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
34697,"05376",1,1,2,5,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
37391,"05001",1,1,2,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
38155,"11001",2,1,6,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
41957,"41001",1,1,1,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
42659,"85440",1,1,2,6,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4
43395,"54001",1,1,8,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
45216,"63001",1,1,3,5,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
46715,"11001",2,1,4,3,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
48871,"05001",2,1,4,6,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
50553,"66001",1,1,2,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
51531,"76147",1,1,2,8,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7
51552,"05001",2,1,2,4,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4
52959,"76834",2,1,4,5,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
58919,"17001",2,1,3,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4
59142,"17001",2,1,6,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
59649,"17001",2,1,2,6,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6
