"DIRECTORIO","N_01","N_02","N_03","N_04","N_05","N_06_A","N_06_B","N_06_C","N_07","N_08","N_09","N_09_TEXTO","N_10_A","N_10_B","N_10_C","N_10_D","N_10_E","N_10_F","N_10_G","N_10_H","N_10_I","SECUENCIA_ENCUESTA.x.x","SECUENCIA_P.x.x","ORDEN.x.x","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.y.x","SECUENCIA_P.y.x","ORDEN.y.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x.y","SECUENCIA_P.x.y","ORDEN.x.y","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y.y","SECUENCIA_P.y.y","ORDEN.y.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","PER_SELECCIONADA"
11785,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,1,1,2,6,1,1,1,NA,0,11,1,1,12,1,30,2,NA,4,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,2,1,2,2,NA,4,1,4,9,6,0,5,513,1,1,4,1,4,1,1,5,1,1,NA,NA,6,1,6,NA
11785,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,1,1,2,6,1,1,1,NA,0,11,1,1,12,1,30,2,NA,4,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,2,1,2,2,NA,4,1,4,9,6,0,5,513,1,1,4,1,4,2,23,4,2,2,NA,NA,5,1,5,NA
11785,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,1,1,2,6,1,1,1,NA,0,11,1,1,12,1,30,2,NA,4,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,2,1,2,2,NA,4,1,4,9,6,0,5,513,1,1,4,1,4,1,25,3,1,1,NA,NA,3,1,3,NA
11785,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,1,1,2,6,1,1,1,NA,0,11,1,1,12,1,30,2,NA,4,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,2,1,2,2,NA,4,1,4,9,6,0,5,513,1,1,4,1,4,2,49,2,2,2,NA,NA,2,1,2,NA
11785,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,1,1,2,6,1,1,1,NA,0,11,1,1,12,1,30,2,NA,4,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,2,1,2,2,NA,4,1,4,9,6,0,5,513,1,1,4,1,4,1,54,1,2,2,NA,NA,1,1,1,NA
11785,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,1,1,2,6,1,1,1,NA,0,11,1,1,12,1,30,2,NA,4,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,2,1,2,2,NA,4,1,4,9,6,0,5,513,1,1,4,1,4,1,20,3,1,1,1,1,4,1,4,1
11893,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,11001,1,1,3,1,1,1,1,NA,0,11,1,1,12,1,35,1,1,5,2,2,4,4,4,2,4,1,1,2,3,3,4,4,4,4,1,1,1,2,1,1,1,1,1,9,6,0,7,708,1,2,1,1,1,2,37,1,2,2,1,1,1,1,1,1
12404,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,11001,1,1,2,5,1,1,1,NA,0,11,1,1,7,1,48,1,1,4,2,2,4,4,2,1,4,3,3,3,3,4,4,4,4,4,1,2,1,1,1,1,2,1,2,5,2,2,5,513,1,1,2,1,2,1,23,3,2,1,1,1,2,1,2,1
12404,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,11001,1,1,2,5,1,1,1,NA,0,11,1,1,7,1,48,1,1,4,2,2,4,4,2,1,4,3,3,3,3,4,4,4,4,4,1,2,1,1,1,1,2,1,2,5,2,2,5,513,1,1,2,1,2,2,3,3,2,1,NA,NA,5,1,5,NA
12404,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,11001,1,1,2,5,1,1,1,NA,0,11,1,1,7,1,48,1,1,4,2,2,4,4,2,1,4,3,3,3,3,4,4,4,4,4,1,2,1,1,1,1,2,1,2,5,2,2,5,513,1,1,2,1,2,2,41,1,2,2,NA,NA,1,1,1,NA
12404,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,11001,1,1,2,5,1,1,1,NA,0,11,1,1,7,1,48,1,1,4,2,2,4,4,2,1,4,3,3,3,3,4,4,4,4,4,1,2,1,1,1,1,2,1,2,5,2,2,5,513,1,1,2,1,2,2,14,3,2,1,NA,NA,4,1,4,NA
12404,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,11001,1,1,2,5,1,1,1,NA,0,11,1,1,7,1,48,1,1,4,2,2,4,4,2,1,4,3,3,3,3,4,4,4,4,4,1,2,1,1,1,1,2,1,2,5,2,2,5,513,1,1,2,1,2,1,16,3,2,1,NA,NA,3,1,3,NA
12459,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,11001,2,1,3,3,1,1,1,NA,0,11,1,1,8,4,40,1,1,1,2,1,4,3,4,4,4,2,3,3,2,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,2,0,8,801,1,1,2,1,2,2,27,1,2,2,NA,NA,1,1,1,NA
12459,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,11001,2,1,3,3,1,1,1,NA,0,11,1,1,8,4,40,1,1,1,2,1,4,3,4,4,4,2,3,3,2,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,2,0,8,801,1,1,2,1,2,1,30,2,2,2,1,1,2,1,2,1
12459,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,11001,2,1,3,3,1,1,1,NA,0,11,1,1,8,4,40,1,1,1,2,1,4,3,4,4,4,2,3,3,2,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,2,0,8,801,1,1,2,1,2,1,29,7,2,2,NA,NA,3,1,3,NA
12461,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,11001,1,1,4,5,1,1,1,NA,0,11,2,3,NA,NA,NA,1,1,5,2,2,4,3,4,5,5,1,1,2,2,2,4,4,4,4,1,1,2,NA,1,1,3,1,3,9,6,0,6,604,1,2,3,1,3,2,40,1,3,1,NA,NA,1,1,1,NA
12461,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,11001,1,1,4,5,1,1,1,NA,0,11,2,3,NA,NA,NA,1,1,5,2,2,4,3,4,5,5,1,1,2,2,2,4,4,4,4,1,1,2,NA,1,1,3,1,3,9,6,0,6,604,1,2,3,1,3,1,40,2,2,2,NA,NA,2,1,2,NA
12461,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,11001,1,1,4,5,1,1,1,NA,0,11,2,3,NA,NA,NA,1,1,5,2,2,4,3,4,5,5,1,1,2,2,2,4,4,4,4,1,1,2,NA,1,1,3,1,3,9,6,0,6,604,1,2,3,1,3,2,23,3,2,1,1,1,3,1,3,1
12461,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,11001,1,1,4,5,1,1,1,NA,0,11,2,3,NA,NA,NA,1,1,5,2,2,4,3,4,5,5,1,1,2,2,2,4,4,4,4,1,1,2,NA,1,1,3,1,3,9,6,0,6,604,1,2,3,1,3,2,10,8,2,2,NA,NA,5,1,5,NA
12461,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,11001,1,1,4,5,1,1,1,NA,0,11,2,3,NA,NA,NA,1,1,5,2,2,4,3,4,5,5,1,1,2,2,2,4,4,4,4,1,1,2,NA,1,1,3,1,3,9,6,0,6,604,1,2,3,1,3,2,79,6,3,3,NA,NA,4,1,4,NA
12493,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,11001,2,1,3,2,1,1,1,NA,0,11,1,1,12,4,45,1,3,4,2,2,4,4,4,3,4,1,3,4,2,3,4,4,4,4,1,2,1,1,2,NA,2,1,2,9,1,0,6,603,1,2,2,1,2,1,35,1,2,3,NA,NA,1,1,1,NA
12493,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,11001,2,1,3,2,1,1,1,NA,0,11,1,1,12,4,45,1,3,4,2,2,4,4,4,3,4,1,3,4,2,3,4,4,4,4,1,2,1,1,2,NA,2,1,2,9,1,0,6,603,1,2,2,1,2,2,36,2,3,2,1,1,2,1,2,1
13002,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,11001,2,1,2,2,1,1,1,NA,0,11,2,3,NA,NA,NA,1,1,4,2,2,4,3,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,0,5,513,3,1,2,1,2,2,36,1,2,2,NA,NA,1,1,1,NA
13002,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,11001,2,1,2,2,1,1,1,NA,0,11,2,3,NA,NA,NA,1,1,4,2,2,4,3,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,0,5,513,3,1,2,1,2,1,18,3,2,1,1,1,2,1,2,1
14007,3,1,2,2,NA,NA,NA,NA,NA,NA,30000,"TREINTA MIL",NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,11001,2,1,3,4,1,1,1,NA,0,11,1,1,7,1,42,1,1,4,2,2,4,4,3,4,4,1,1,1,2,3,4,4,4,4,2,NA,1,1,2,NA,1,1,1,9,2,2,5,511,1,1,1,1,1,2,5,3,1,1,NA,NA,3,1,3,NA
14007,3,1,2,2,NA,NA,NA,NA,NA,NA,30000,"TREINTA MIL",NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,11001,2,1,3,4,1,1,1,NA,0,11,1,1,7,1,42,1,1,4,2,2,4,4,3,4,4,1,1,1,2,3,4,4,4,4,2,NA,1,1,2,NA,1,1,1,9,2,2,5,511,1,1,1,1,1,2,27,2,2,2,NA,NA,2,1,2,NA
14007,3,1,2,2,NA,NA,NA,NA,NA,NA,30000,"TREINTA MIL",NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,11001,2,1,3,4,1,1,1,NA,0,11,1,1,7,1,42,1,1,4,2,2,4,4,3,4,4,1,1,1,2,3,4,4,4,4,2,NA,1,1,2,NA,1,1,1,9,2,2,5,511,1,1,1,1,1,1,28,1,2,2,1,1,1,1,1,1
14007,3,1,2,2,NA,NA,NA,NA,NA,NA,30000,"TREINTA MIL",NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,11001,2,1,3,4,1,1,1,NA,0,11,1,1,7,1,42,1,1,4,2,2,4,4,3,4,4,1,1,1,2,3,4,4,4,4,2,NA,1,1,2,NA,1,1,1,9,2,2,5,511,1,1,1,1,1,1,2,3,1,1,NA,NA,4,1,4,NA
15249,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,11001,2,1,3,4,1,1,1,NA,0,11,1,1,12,2,75,1,1,4,1,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,6,2,6,603,1,2,1,1,1,2,45,1,2,1,1,1,1,1,1,1
15249,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,11001,2,1,3,4,1,1,1,NA,0,11,1,1,12,2,75,1,1,4,1,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,6,2,6,603,1,2,1,1,1,1,15,3,2,1,NA,NA,3,1,3,NA
15249,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,11001,2,1,3,4,1,1,1,NA,0,11,1,1,12,2,75,1,1,4,1,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,6,2,6,603,1,2,1,1,1,2,70,6,3,3,NA,NA,4,1,4,NA
15249,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,11001,2,1,3,4,1,1,1,NA,0,11,1,1,12,2,75,1,1,4,1,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,6,2,6,603,1,2,1,1,1,1,20,3,2,1,NA,NA,2,1,2,NA
15341,3,1,1,2,NA,NA,NA,NA,NA,NA,20000,"VEINTE MIL",NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,11001,2,1,3,1,1,1,1,NA,0,11,1,4,NA,NA,NA,1,3,3,2,2,3,4,5,5,5,1,1,3,3,3,5,4,4,4,1,1,1,1,2,NA,1,1,1,9,6,0,5,511,1,1,1,1,1,1,43,1,2,2,1,1,1,1,1,1
15704,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,1,1,3,4,1,1,1,NA,0,11,1,1,8,4,30,1,1,4,2,2,3,3,4,4,4,3,3,3,4,4,4,4,4,4,2,NA,1,1,1,1,4,1,4,9,6,1,6,601,1,1,4,1,4,2,58,3,1,1,NA,NA,3,1,3,NA
15704,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,1,1,3,4,1,1,1,NA,0,11,1,1,8,4,30,1,1,4,2,2,3,3,4,4,4,3,3,3,4,4,4,4,4,4,2,NA,1,1,1,1,4,1,4,9,6,1,6,601,1,1,4,1,4,1,86,1,3,3,NA,NA,1,1,1,NA
15704,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,1,1,3,4,1,1,1,NA,0,11,1,1,8,4,30,1,1,4,2,2,3,3,4,4,4,3,3,3,4,4,4,4,4,4,2,NA,1,1,1,1,4,1,4,9,6,1,6,601,1,1,4,1,4,2,77,2,3,3,NA,NA,2,1,2,NA
15704,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,1,1,3,4,1,1,1,NA,0,11,1,1,8,4,30,1,1,4,2,2,3,3,4,4,4,3,3,3,4,4,4,4,4,4,2,NA,1,1,1,1,4,1,4,9,6,1,6,601,1,1,4,1,4,1,24,5,2,1,1,1,4,1,4,1
16300,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,11001,1,1,2,3,1,1,1,NA,0,11,1,1,6,1,48,1,3,4,2,2,2,4,4,3,4,2,3,4,3,3,4,4,4,4,1,2,1,1,1,1,3,1,3,9,6,0,7,705,1,1,3,1,3,2,60,1,3,3,NA,NA,1,1,1,NA
16300,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,11001,1,1,2,3,1,1,1,NA,0,11,1,1,6,1,48,1,3,4,2,2,2,4,4,3,4,2,3,4,3,3,4,4,4,4,1,2,1,1,1,1,3,1,3,9,6,0,7,705,1,1,3,1,3,1,29,3,2,1,1,1,3,1,3,1
16300,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,11001,1,1,2,3,1,1,1,NA,0,11,1,1,6,1,48,1,3,4,2,2,2,4,4,3,4,2,3,4,3,3,4,4,4,4,1,2,1,1,1,1,3,1,3,9,6,0,7,705,1,1,3,1,3,1,50,7,3,3,NA,NA,2,1,2,NA
16371,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,2,1,2,4,1,1,1,NA,0,11,1,2,NA,NA,NA,2,NA,2,2,2,4,4,4,4,4,2,2,2,2,4,4,4,4,4,1,2,1,1,1,1,4,1,4,9,6,1,5,511,1,1,4,1,4,1,27,7,2,2,1,1,4,1,4,1
16371,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,2,1,2,4,1,1,1,NA,0,11,1,2,NA,NA,NA,2,NA,2,2,2,4,4,4,4,4,2,2,2,2,4,4,4,4,4,1,2,1,1,1,1,4,1,4,9,6,1,5,511,1,1,4,1,4,1,33,1,2,2,NA,NA,1,1,1,NA
16371,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,2,1,2,4,1,1,1,NA,0,11,1,2,NA,NA,NA,2,NA,2,2,2,4,4,4,4,4,2,2,2,2,4,4,4,4,4,1,2,1,1,1,1,4,1,4,9,6,1,5,511,1,1,4,1,4,1,8,3,1,2,NA,NA,3,1,3,NA
16371,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,11001,2,1,2,4,1,1,1,NA,0,11,1,2,NA,NA,NA,2,NA,2,2,2,4,4,4,4,4,2,2,2,2,4,4,4,4,4,1,2,1,1,1,1,4,1,4,9,6,1,5,511,1,1,4,1,4,1,10,3,1,2,NA,NA,2,1,2,NA
16633,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,11001,1,1,3,4,1,1,1,NA,0,11,2,3,NA,NA,NA,1,1,3,1,1,4,4,4,4,4,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,3,1,3,9,6,1,7,704,1,2,3,1,3,2,57,2,2,2,NA,NA,2,1,2,NA
16633,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,11001,1,1,3,4,1,1,1,NA,0,11,2,3,NA,NA,NA,1,1,3,1,1,4,4,4,4,4,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,3,1,3,9,6,1,7,704,1,2,3,1,3,1,55,1,2,2,NA,NA,1,1,1,NA
16633,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,11001,1,1,3,4,1,1,1,NA,0,11,2,3,NA,NA,NA,1,1,3,1,1,4,4,4,4,4,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,3,1,3,9,6,1,7,704,1,2,3,1,3,2,17,3,1,1,NA,NA,4,1,4,NA
